Wall time,Step,Value
1666486925.8770883,720,-4334.5146484375
1666486985.6396089,1440,-18283.103515625
1666487039.130579,2160,-6425.861328125
1666487097.5393877,2880,-14861.6884765625
1666487152.6700869,3600,-10782.935546875
1666487205.9061587,4320,-6840.06689453125
1666487257.901755,5040,-3895.188232421875
1666487314.5798047,5760,-13192.703125
1666487367.0249782,6480,-3664.344970703125
1666487420.278391,7200,-6424.6552734375
1666487478.025572,7920,-14980.0625
1666487533.9349363,8640,-11864.3525390625
1666487588.7531629,9360,-8644.0595703125
1666487646.7843359,10080,-16497.298828125
1666487699.0457726,10800,-5383.17138671875
1666487751.5548754,11520,-5251.59765625
1666487806.7901769,12240,-10961.7646484375
1666487862.9222553,12960,-10300.1064453125
1666487918.9603605,13680,-9242.13671875
1666487971.0732193,14400,-3706.635498046875
1666488026.3639605,15120,-9610.513671875
1666488082.2173297,15840,-10310.9072265625
1666488138.5924165,16560,-9698.021484375
1666488194.083839,17280,-9168.9404296875
1666488250.1866405,18000,-11470.716796875
1666488304.720998,18720,-9523.486328125
1666488359.3917658,19440,-10827.572265625
1666488414.840501,20160,-9546.1455078125
1666488467.8471606,20880,-6142.921875
1666488520.9240806,21600,-5297.2197265625
1666488575.9017441,22320,-10289.1005859375
1666488630.852966,23040,-10203.4990234375
1666488688.0703962,23760,-13337.1484375
1666488741.7269826,24480,-7437.72314453125
1666488794.3401353,25200,-5037.89453125
1666488846.0607436,25920,-4211.08544921875
1666488900.4543736,26640,-9200.1962890625
1666488954.9795434,27360,-9482.5068359375
1666489008.6507988,28080,-7590.5419921875
1666489063.4966214,28800,-9368.044921875
1666489116.455265,29520,-6554.65771484375
1666489170.3468966,30240,-8227.7939453125
1666489227.5148325,30960,-13740.763671875
1666489280.6123388,31680,-6612.46630859375
1666489333.3884811,32400,-6464.2998046875
1666489389.1230977,33120,-10534.4912109375
1666489445.6517,33840,-12410.26171875
1666489499.6140313,34560,-7536.1494140625
1666489555.9352148,35280,-11470.1513671875
1666489612.6888776,36000,-13072.5361328125
1666489667.8397753,36720,-10536.810546875
1666489721.6413012,37440,-6876.43310546875
1666489778.6660469,38160,-13179.12109375
1666489834.5529647,38880,-10289.07421875
1666489888.1480174,39600,-6764.84716796875
1666489943.1538,40320,-10941.5576171875
1666489997.9667342,41040,-9107.751953125
1666490052.4083266,41760,-8058.6953125
1666490110.4839277,42480,-15134.876953125
1666490163.5533965,43200,-6265.18798828125
1666490219.0706856,43920,-11473.7431640625
1666490271.8119504,44640,-5221.08740234375
1666490324.6476612,45360,-6117.4677734375
1666490379.6580076,46080,-9613.7158203125
1666490432.6938045,46800,-6243.1337890625
1666490485.7255945,47520,-6004.9814453125
1666490539.0262506,48240,-7337.63720703125
1666490594.6936338,48960,-10544.59375
1666490648.1892517,49680,-7185.45751953125
1666490703.1411934,50400,-10206.0859375
1666490756.2979753,51120,-7549.3642578125
1666490812.7854855,51840,-10659.5927734375
1666490868.1326082,52560,-8949.8798828125
1666490920.404201,53280,-5079.22412109375
